label|p_value|source|source_id|source_type|source_url|target_id|target_type
expressed_in|3.8271e-05|GTEx|ensg00000256927|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0001150|UBERON
expressed_in|4.79443e-05|GTEx|ensg00000171476|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0006631|UBERON
expressed_in|3.32463e-05|GTEx|ensg00000171476|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0006920|UBERON
expressed_in|7.41921e-07|GTEx|ensg00000164023|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_EFO_0002009|UBERON
expressed_in|5.78179e-10|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0000945|UBERON
expressed_in|9.03483e-10|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0001496|UBERON
expressed_in|1.63978e-06|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0004550|UBERON
expressed_in|2.36959e-06|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0001157|UBERON
expressed_in|2.0225e-05|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0006631|UBERON
expressed_in|3.00968e-16|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0008367|UBERON
expressed_in|5.63646e-09|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0004648|UBERON
expressed_in|1.62077e-13|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0008952|UBERON
expressed_in|5.10247e-12|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0010414|UBERON
expressed_in|6.10937e-12|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0001416|UBERON
expressed_in|3.93952e-24|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0001323|UBERON
expressed_in|2.52924e-25|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0002046|UBERON
expressed_in|9.46793e-15|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0002190|UBERON
expressed_in|1.14374e-06|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0001511|UBERON
expressed_in|6.08195e-10|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0007610|UBERON
expressed_in|1.41326e-09|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0013756|UBERON
expressed_in|1.05113e-06|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0002037|UBERON
expressed_in|2.91403e-06|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0006330|UBERON
expressed_in|4.79853e-07|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0000007|UBERON
expressed_in|9.44338e-08|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0001211|UBERON
expressed_in|4.43099e-13|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0002367|UBERON
expressed_in|3.46482e-13|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0002106|UBERON
expressed_in|3.66749e-07|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|UBERON_UBERON_0002369|UBERON
