label|source|source_id|source_type|source_url|state|target_id|target_type
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|uberon_0002190|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|Quies|uberon_0002369|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|Quies|cl_0000576|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|Quies|cl_0000775|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0000236|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0000236|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0000084|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0000084|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|Quies|cl_0000037|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|Quies|cl_0002033|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0000897|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0002061|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0002061|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0000897|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0000912|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0000899|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0002061|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|TxWk|cl_0000815|uberon
chromatin_state|Roadmap Epigenomics Project|rs10000007|snp|https://forgedb.cancer.gov/api/forge2.erc2-chromatin15state-all/v1.0/forge2.erc2-chromatin15state-all.{0-9}.forgedb.csv.gz|Quies|cl_0000905|uberon
