chr|end|id|source|source_url|start|variant_type
chr1|52000|0001059_NSSV16889290|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10000|duplication
chr1|88143|0001059_NSSV14768|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|82189|0001059_NSSV14781|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|87466|0001059_NSSV14784|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|88143|0001059_NSSV14790|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|297968|0001059_NSSV1529569|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|127330|0001059_NSSV15707761|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|82189|0001059_NSSV15707940|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|782105|0001059_NSSV1601260|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|782105|0001059_NSSV1601261|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|6831263|0001059_NSSV1612836|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|6743974|0001059_NSSV1613119|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|6068104|0001059_NSSV1613156|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|2940953|0001059_NSSV1613277|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|2777471|0001059_NSSV1613509|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|7688915|0001059_NSSV1613648|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|4799319|0001059_NSSV1613719|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|1535693|0001059_NSSV1614481|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|9962135|0001059_NSSV1614868|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|5226310|0001059_NSSV1614930|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|3792349|0001059_NSSV1615160|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|6128996|0001059_NSSV1615317|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|6623969|0001059_NSSV1615498|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|6861374|0001059_NSSV1615801|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|4018458|0001059_NSSV1615861|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|4410388|0001059_NSSV1616125|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|5476654|0001059_NSSV1616525|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|5532775|0001059_NSSV16255736|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|deletion
chr1|19818|0001059_NSSV1749199|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749200|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749201|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749212|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749223|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749234|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749245|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749256|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749267|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749278|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749289|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749300|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749337|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749338|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1749449|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
chr1|19818|0001059_NSSV1750484|dbVar|https://www.ncbi.nlm.nih.gov/dbvar/content/ftp_manifest/|10001|duplication
